City_ID,City,Country,Max Temp,Currrent Description,Lat,Lng,Hotel Name
4,Faanui,PF,80.26,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
7,Basco,PH,79.9,overcast clouds,20.45,121.97,Nathaniel's Lodge
9,Bengkulu,ID,75.45,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
10,The Valley,AI,82.99,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
11,Olinda,BR,80.6,scattered clouds,-8.01,-34.86,Hotel 5 Sóis
15,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
17,Daru,PG,84.61,overcast clouds,-9.08,143.21,New century hotel
20,Sao Filipe,CV,79.21,broken clouds,14.9,-24.5,Tortuga B&B
25,Hilo,US,86.0,scattered clouds,19.73,-155.09,Hilo Hawaiian Hotel
32,Kavieng,PG,85.69,clear sky,-2.57,150.8,Nusa Island Retreat
35,Boulder City,US,84.2,clear sky,35.98,-114.83,Boulder Dam Hotel
40,Saint-Georges,GD,77.0,light rain,12.06,-61.75,Siesta Hotel
42,Adrar,MR,79.9,overcast clouds,20.5,-10.07,
50,Xapuri,BR,77.58,scattered clouds,-10.65,-68.5,Restaurante Viana
51,Baculin,PH,82.35,overcast clouds,7.45,126.58,Shovy's Cove
59,Avarua,CK,78.8,light rain,-21.21,-159.78,Paradise Inn
64,Bubaque,GW,83.44,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
66,Butaritari,KI,81.97,few clouds,3.07,172.79,Isles Sunset Lodge
68,Brokopondo,SR,77.38,moderate rain,4.75,-55.17,Matu Island
72,Victoria,HK,75.0,broken clouds,22.29,114.16,Mini Hotel Central
76,Atuona,PF,77.47,light rain,-9.8,-139.03,Villa Enata
81,Hithadhoo,MV,83.34,overcast clouds,-0.6,73.08,Scoop Guest House
86,Kapaa,US,82.4,few clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
90,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
94,Tautira,PF,82.4,broken clouds,-17.73,-149.15,Pension Oaoa
101,Nanakuli,US,84.2,overcast clouds,21.39,-158.15,Camp Pālehua
106,Sao Miguel Do Araguaia,BR,78.55,light rain,-13.28,-50.16,Hotel Executivo Palace
111,Los Llanos De Aridane,ES,75.2,clear sky,28.66,-17.92,Valle Aridane
118,Rosarito,MX,82.4,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
120,Nouadhibou,MR,78.8,overcast clouds,20.93,-17.03,El Medina
122,San Felipe,VE,75.25,overcast clouds,10.34,-68.74,Posada Llovizna Rodríguez
123,Bangkalan,ID,78.87,overcast clouds,-7.05,112.74,SPOT ON 2591 Griya Demangan Syariah
