City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Currrent Description
0,Ushuaia,AR,-54.8,-68.3,59.0,54,75,18.34,2020-11-01 22:45:34,broken clouds
1,Tabriz,IR,38.08,46.29,51.8,29,0,6.93,2020-11-01 22:40:41,clear sky
2,Chokurdakh,RU,70.63,147.92,0.21,94,100,10.96,2020-11-01 22:45:34,light snow
3,Beringovskiy,RU,63.05,179.32,24.13,95,100,2.98,2020-11-01 22:45:35,overcast clouds
4,Faanui,PF,-16.48,-151.75,80.26,79,27,20.31,2020-11-01 22:45:35,light rain
5,Nau,TJ,40.15,69.37,42.8,70,100,4.47,2020-11-01 22:45:35,overcast clouds
6,Haines Junction,CA,60.75,-137.51,14.0,56,100,2.24,2020-11-01 22:45:35,overcast clouds
7,Basco,PH,20.45,121.97,79.9,81,100,29.71,2020-11-01 22:45:36,overcast clouds
8,East London,ZA,-33.02,27.91,65.43,83,73,14.47,2020-11-01 22:45:36,light rain
9,Bengkulu,ID,-3.8,102.27,75.45,88,99,4.56,2020-11-01 22:45:36,overcast clouds
10,The Valley,AI,18.22,-63.06,82.99,74,40,16.11,2020-11-01 22:45:36,scattered clouds
11,Olinda,BR,-8.01,-34.86,80.6,74,40,5.82,2020-11-01 22:45:36,scattered clouds
12,Bridlington,GB,54.08,-0.19,64.4,77,100,24.16,2020-11-01 22:45:37,overcast clouds
13,Bulaevo,KZ,54.91,70.44,33.31,91,91,10.04,2020-11-01 22:45:37,overcast clouds
14,Rikitea,PF,-23.12,-134.97,74.62,85,86,22.84,2020-11-01 22:45:37,light rain
15,Vaini,TO,-21.2,-175.2,78.8,78,75,12.75,2020-11-01 22:45:37,broken clouds
16,Bairnsdale,AU,-37.83,147.62,66.0,81,92,1.01,2020-11-01 22:45:38,overcast clouds
17,Daru,PG,-9.08,143.21,84.61,74,92,13.58,2020-11-01 22:45:38,overcast clouds
18,Barrow,US,71.29,-156.79,28.4,79,90,19.46,2020-11-01 22:45:31,light snow
19,Arraial Do Cabo,BR,-22.97,-42.03,69.04,75,74,18.9,2020-11-01 22:45:39,broken clouds
20,Sao Filipe,CV,14.9,-24.5,79.21,76,75,11.48,2020-11-01 22:45:39,broken clouds
21,Tuktoyaktuk,CA,69.45,-133.04,12.2,92,90,17.22,2020-11-01 22:45:39,light snow
22,Clyde River,CA,70.47,-68.59,12.2,85,40,8.05,2020-11-01 22:45:39,scattered clouds
23,Jamestown,US,42.1,-79.24,34.0,97,90,16.11,2020-11-01 22:45:40,overcast clouds
24,Hobart,AU,-42.88,147.33,64.99,72,75,10.29,2020-11-01 22:45:40,broken clouds
25,Hilo,US,19.73,-155.09,86.0,58,40,6.93,2020-11-01 22:42:05,scattered clouds
26,Taltal,CL,-25.4,-70.48,59.83,69,21,5.84,2020-11-01 22:45:40,few clouds
27,Cherskiy,RU,68.75,161.3,2.17,93,99,4.9,2020-11-01 22:45:40,overcast clouds
28,Katsuura,JP,35.13,140.3,60.8,77,75,5.82,2020-11-01 22:43:22,broken clouds
29,Muroto,JP,33.28,134.15,62.6,100,75,3.36,2020-11-01 22:45:41,shower rain
30,Albany,US,42.6,-73.97,46.99,86,97,6.76,2020-11-01 22:41:06,light rain
31,Kruisfontein,ZA,-34.0,24.73,64.0,82,26,3.0,2020-11-01 22:45:32,scattered clouds
32,Kavieng,PG,-2.57,150.8,85.69,67,1,5.75,2020-11-01 22:45:42,clear sky
33,New Norfolk,AU,-42.78,147.06,64.99,64,100,1.01,2020-11-01 22:45:42,overcast clouds
34,Rabo De Peixe,PT,37.8,-25.58,62.6,82,75,23.04,2020-11-01 22:45:43,light intensity shower rain
35,Boulder City,US,35.98,-114.83,84.2,7,1,9.17,2020-11-01 22:41:40,clear sky
36,Constitucion,CL,-35.33,-72.42,54.3,85,61,6.38,2020-11-01 22:42:17,broken clouds
37,Shache,CN,38.42,77.24,33.66,85,0,3.24,2020-11-01 22:45:44,clear sky
38,Dezful,IR,32.38,48.41,62.73,40,2,3.87,2020-11-01 22:45:44,clear sky
