City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-10-31 17:33:42,-53.15,-70.92,53.6,66,0,2.24
1,Bredasdorp,ZA,2020-10-31 17:33:50,-34.53,20.04,60.8,59,0,9.17
2,Namibe,AO,2020-10-31 17:36:46,-15.2,12.15,72.7,78,18,10.94
3,Hearst,CA,2020-10-31 17:36:46,49.68,-83.67,39.2,60,100,17.22
4,Clyde River,CA,2020-10-31 17:33:12,70.47,-68.59,15.8,92,90,12.75
5,Vila Velha,BR,2020-10-31 17:36:03,-20.33,-40.29,73.4,83,75,5.82
6,Ushuaia,AR,2020-10-31 17:36:01,-54.8,-68.3,55.4,58,75,5.82
7,Tobol,KZ,2020-10-31 17:36:47,52.68,62.58,37.53,77,82,10.56
8,Buin,CL,2020-10-31 17:36:47,-33.73,-70.75,86.0,23,0,5.82
9,Port Alfred,ZA,2020-10-31 17:35:55,-33.59,26.89,65.23,75,87,15.39
10,Hovd,MN,2020-10-31 17:36:47,48.01,91.64,27.0,85,0,1.81
11,Hermanus,ZA,2020-10-31 17:36:47,-34.42,19.23,61.0,70,0,4.0
12,San Patricio,US,2020-10-31 17:36:09,28.02,-97.52,75.99,53,20,5.82
13,Launceston,AU,2020-10-31 17:36:48,-41.45,147.17,50.0,93,40,10.29
14,Jamestown,US,2020-10-31 17:35:23,42.1,-79.24,42.01,64,90,10.29
15,Bilibino,RU,2020-10-31 17:36:48,68.05,166.44,-1.23,84,29,2.48
16,Synya,RU,2020-10-31 17:36:48,65.37,58.04,32.41,96,100,10.0
17,Castro,BR,2020-10-31 17:34:08,-24.79,-50.01,61.52,76,99,7.34
18,Manggar,ID,2020-10-31 17:36:46,-2.88,108.27,79.3,83,90,4.18
19,Kysyl-Syr,RU,2020-10-31 17:36:49,63.9,122.76,-8.63,90,89,3.78
20,Fort Nelson,CA,2020-10-31 17:36:49,58.81,-122.7,14.0,92,75,3.36
21,Batsfjord,NO,2020-10-31 17:36:49,70.63,29.72,31.06,94,83,8.72
22,Rikitea,PF,2020-10-31 17:32:41,-23.12,-134.97,75.09,70,6,7.58
23,Yulara,AU,2020-10-31 17:36:50,-25.24,130.99,68.0,24,57,5.82
24,Ribeira Grande,PT,2020-10-31 17:33:44,38.52,-28.7,71.6,88,40,18.34
25,Najran,SA,2020-10-31 17:36:50,17.49,44.13,71.6,26,0,4.7
26,Hilo,US,2020-10-31 17:33:33,19.73,-155.09,75.99,69,20,6.93
27,Butaritari,KI,2020-10-31 17:34:02,3.07,172.79,81.39,75,68,16.35
28,Isangel,VU,2020-10-31 17:34:05,-19.55,169.27,74.8,80,76,16.69
29,Panguna,PG,2020-10-31 17:34:51,-6.32,155.48,67.87,100,78,1.1
30,Mgandu,TZ,2020-10-31 17:36:51,-5.95,34.13,71.85,38,84,10.65
31,Puerto Ayora,EC,2020-10-31 17:36:52,-0.74,-90.35,75.2,73,75,11.41
32,Hobyo,SO,2020-10-31 17:36:52,5.35,48.53,82.0,75,99,11.14
33,Thompson,CA,2020-10-31 17:36:52,55.74,-97.86,15.8,78,90,19.46
34,Kloulklubed,PW,2020-10-31 17:33:52,7.04,134.26,82.4,78,90,10.29
35,Cape Town,ZA,2020-10-31 17:32:51,-33.93,18.42,64.99,59,0,19.46
36,Carnarvon,AU,2020-10-31 17:33:24,-24.87,113.63,68.0,88,40,5.82
37,Ust-Nera,RU,2020-10-31 17:36:53,64.57,143.2,-4.25,81,100,2.26
38,San Cristobal,VE,2020-10-31 17:34:03,7.77,-72.22,87.8,55,40,11.41
39,Vaini,TO,2020-10-31 17:36:54,-21.2,-175.2,71.6,94,75,9.17
40,Albany,US,2020-10-31 17:36:54,42.6,-73.97,44.01,68,0,4.59
41,Nelson Bay,AU,2020-10-31 17:36:54,-32.72,152.15,55.4,93,4,6.93
42,Zaysan,KZ,2020-10-31 17:36:54,47.47,84.87,32.52,87,0,2.57
43,Ponta Do Sol,PT,2020-10-31 17:36:08,32.67,-17.1,71.6,83,20,12.75
44,Mandalgovi,MN,2020-10-31 17:36:55,45.76,106.27,22.57,80,0,10.51
45,Hithadhoo,MV,2020-10-31 17:33:44,-0.6,73.08,83.8,71,96,7.94
46,Hobart,AU,2020-10-31 17:36:47,-42.88,147.33,55.4,62,90,8.05
47,Khatanga,RU,2020-10-31 17:32:42,71.97,102.5,-7.46,87,94,7.67
48,Kodiak,US,2020-10-31 17:36:56,57.79,-152.41,32.0,88,1,8.05
49,Grindavik,IS,2020-10-31 17:36:56,63.84,-22.43,41.0,86,40,6.93
50,Songjianghe,CN,2020-10-31 17:36:56,42.19,127.48,39.56,92,86,7.05
51,Qaanaaq,GL,2020-10-31 17:36:56,77.48,-69.36,10.22,85,95,7.25
52,Kapaa,US,2020-10-31 17:36:57,22.08,-159.32,69.8,88,1,3.36
53,East London,ZA,2020-10-31 17:36:57,-33.02,27.91,64.4,72,20,6.93
54,Srikakulam,IN,2020-10-31 17:36:57,18.3,83.9,76.21,70,57,4.72
55,Olafsvik,IS,2020-10-31 17:36:32,64.89,-23.71,43.77,78,59,10.04
56,Hasaki,JP,2020-10-31 17:36:21,35.73,140.83,44.6,93,20,5.82
57,Mataura,NZ,2020-10-31 17:32:37,-46.19,168.86,46.99,81,3,5.01
58,Chuy,UY,2020-10-31 17:36:58,-33.7,-53.46,64.47,62,43,9.24
59,Avarua,CK,2020-10-31 17:32:37,-21.21,-159.78,71.6,88,100,12.75
60,Samana,DO,2020-10-31 17:36:58,19.21,-69.34,80.6,88,75,9.17
61,Breves,BR,2020-10-31 17:36:58,-1.68,-50.48,97.18,32,88,4.88
62,Itaquitinga,BR,2020-10-31 17:36:59,-7.67,-35.1,86.0,70,40,12.75
63,Stawell,AU,2020-10-31 17:36:59,-37.05,142.77,42.98,96,6,12.59
64,Faanui,PF,2020-10-31 17:34:01,-16.48,-151.75,78.64,75,34,20.58
